04F8 RAM_TMPTXT
04FA RAM_TMPLIN
04FC RAM_MTIMLO
04FE RAM_MTIMHI
0500 RAM_USRPOK
0503 RAM_KERNDX
0508 RAM_DEJAVU
0509 RAM_LAT
0513 RAM_FAT
051D RAM_SAT
0527 RAM_KEYD
0531 RAM_MEMSTR
0533 RAM_MSIZ
0535 RAM_TIMOUT
0536 RAM_FILEND
0537 RAM_CTALLY
0538 RAM_CBUFVA
0539 RAM_TPTR
053A RAM_FLTYPE
053B RAM_COLOR
053C RAM_FLASH
053E RAM_HIBASE
053F RAM_XMAX
0540 RAM_RPTFLG
0541 RAM_KOUUT
0542 RAM_DELAY
0543 RAM_SHFLAG
0544 RAM_LSTSHF
0545 RAM_KEYLOG
0547 RAM_MODE
0548 RAM_AUTODN
0549 RAM_LINTMP
054A RAM_ROLFLG
054B RAM_FORMAT
054C RAM_MSAL
054F RAM_WRAP
0550 RAM_TMPC
0551 RAM_DIFF
0552 RAM_PCH
0553 RAM_PCL
0554 RAM_FLGS
0555 RAM_ACC
0556 RAM_XR
0557 RAM_YR
0558 RAM_SP
0559 RAM_INYL
055A RAM_INVH
055B RAM_CMPFLG
055C RAM_BAD
055D RAM_KYNDX
055E RAM_KEYIDX
055F RAM_KEYBUF
0567 RAM_PKY9UF
05E7 RAM_KDATA
05E8 RAM_RDYCMD
05E9 RAM_KDYNUM
05EA RAM_RDYPRS
05EB RAM_KDYTYP
05EC RAM_SAVRAM
05EC RAM_PAT
05F0 RAM_LNGJMP
05F2 RAM_FETARG
05F3 RAM_FETXRG
05F4 RAM_FETSRG
05F5 RAM_AREAS
065E RAM_ASPECH
06EC RAM_STKTOP
07B0 RAM_WROUT
07B1 RAM_PARITY
07B2 RAM_TT1
07B3 RAM_TT2
07B5 RAM_RDBITS
07B6 RAM_ERRSP
07B7 RAM_FPERRS
07B8 RAM_DSAMP1
07BA RAM_DSAMP2
07BC RAM_ZCELL
07BE RAM_SRECOV
07BF RAM_DRECOV
07C0 RAM_TRSAVE
07C4 RAM_RDETMP
07C5 RAM_LDRSCN
07C6 RAM_CDERRM
07C7 RAM_VSAVE
07C8 RAM_T1PIPE
07CC RAM_ENEXT
07CD RAM_UOUTQ
07CE RAM_UOUTFG
07CF RAM_SOUT9
07D0 RAM_SOUNFG
07D1 RAM_INOFPT
07D2 RAM_INQRPT
07D3 RAM_INQCNT
07D4 RAM_ASTAT
07D5 RAM_AINTMP
07D6 RAM_ALSTOP
07D7 RAM_ARSTOP
07D8 RAM_APRES
07D9 RAM_RLUDES
07E5 RAM_SCBOT
07E6 RAM_SCTOP
07E7 RAM_SCLF
07E8 RAM_SCRT
07E9 RAM_SCRDIS
07EA RAM_INSFLG
07EB RAM_LSTCHR
07EC RAM_LOGSCR
07ED RAM_TCOLOR
07EE RAM_BITABL
07F2 RAM_SAREG
07F3 RAM_SXREG
07F4 RAM_SYREG
07F5 RAM_SPREG
07F6 RAM_LSTX
07F7 RAM_STPDSB
07F8 RAM_RAMROM
07F9 RAM_COLSW
07FA RAM_FFRMSK
07FB RAM_VMBMSK
07FC RAM_LSEM
07FD RAM_PALCNT
0800 RAM_TEDATR
0C00 RAM_TEDSCN
1000 RAM_BASBGN
1800 RAM_BMLUM
1C00 RAM_BMCOLR
FF81 ROM_CINT
FF84 ROM_IOINIT
FF87 ROM_RAMTAS
FF8A ROM_RESTOR
FF8D ROM_VECTOR
FF90 ROM_SETMSG
FF93 ROM_SECND
FF96 ROM_TKSA
FF99 ROM_MEMTOP
FF9C ROM_MEMBOT
FF9F ROM_SCNKEY
FFA2 ROM_SETTMO
FFA5 ROM_ACPTR
FFA8 ROM_CIoUT
FFAB ROM_UNTLR
FFAE ROM_UNLSN
FFB1 ROM_LISTN
FFB4 ROM_TALK
FFB7 ROM_READSS
EF8A ROM_SETLFS
FFBD ROM_SETNAM
FFC0 ROM_OPEN
FFC3 ROM_CLOSE
FFC6 ROM_CHKIN
FEC9 ROM_CHOUT
FECC ROM_CLRCH
FFCF ROM_8ASIN
FFD2 ROM_BSOUT
FFD5 ROM_LOADSP
FFD8 ROM_SAYESP
FFDB ROM_SETTIM
FFDE ROM_RDTIM
FFE1 ROM_STOP
FFE4 ROM_GETIN
FFE7 ROM_CLALL
FFEA ROM_UDTIM
FFED ROM_SCRORG
FFF0 ROM_PLOT
FFF3 ROM_IOBASE
