C006 ROM_JUMPTAB
C0EA ROM_KEYWORDS
C0EA ROM_FINDFORVAR
C3F8 ROM_VARALLOC
C448 ROM_FREEMEMCHECK
C483 ROM_PRINTERROR
C56F ROM_SETLINELINKPTRS
C5F8 ROM_READKEY
C60A ROM_TOKENISELINE
C719 ROM_NEW
C738 ROM_CLEAR
C773 ROM_LIST
C824 ROM_LLIST
C832 ROM_LPRINT
C841 ROM_FOR
C8AD ROM_DONEXTLINE
C91F ROM_RESTORE
CBED ROM_PRINTSTRING
CE8B ROM_EVALEXPR
D595 ROM_GARBAGECOLLECT
DC79 ROM_LN
DD4D ROM_UNPACKFPA
DDA3 ROM_FPAMULT10
DDBF ROM_FPADIV10
DE73 ROM_PI
DF12 ROM_SGN
DFA5 ROM_INT
DFCF ROM_GETNUMBER
E22A ROM_SQR
E34B ROM_RND
E387 ROM_COS
E38E ROM_SIN
E43B ROM_ATN
E576 ROM_CLRSTATUS
E5C6 ROM_PUTTAPEBYTE
E630 ROM_GETTAPEBYTE
E696 ROM_SYNCTAPE
E6BA ROM_WRITELEADER
E6CA ROM_SETUPTAPE
E905 ROM_CHECKKBD
E9A9 ROM_TEXT
E9BB ROM_HIRES
ECC7 ROM_SETUPTIMER
ED01 ROM_STOPTIMER
ED09 ROM_IRQ
EE70 ROM_RESETTIMER
ED01 ROM_STOPTIMER
ED81 ROM_GETTIMER
ED8F ROM_SETTIMER
EDAD ROM_DELAY
F02D ROM_CURSET
F064 ROM_CURMOV
F07D ROM_DRAW
F0A5 ROM_CHAR
F17F ROM_PAPER
F18B ROM_INK
F1E5 ROM_FILL
F2E5 ROM_CIRCLE
F4C8 ROM_FINDKEY
F535 ROM_WRITETOAY
F57B ROM_PRINTCHAR
F409 ROM_CHAR2SCR
F436 ROM_PRINTSTATUS
F41B ROM_SHOOT
F418 ROM_EXPLODEDATA
FAFA ROM_KEYCLICKH
FB10 ROM_KEYCLICKL
F41E ROM_SOUND
F421 ROM_PLAY
F424 ROM_MUSIC
